wikidata,type,text
https://www.wikidata.org/wiki/Q2807,place,Madrid
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q1630860,mit,los mandamientos
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q2807,place,Madrid
https://www.wikidata.org/wiki/Q752280,place,Almagro
https://www.wikidata.org/wiki/Q2364997,place,calle de las Huertas
https://www.wikidata.org/wiki/Q752280,place,Almagro
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q844209,place,la Mancha
https://www.wikidata.org/wiki/Q16389845,place,calle del Prado
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q43958,person,Cid
https://www.wikidata.org/wiki/Q183,place,Alemania
https://www.wikidata.org/wiki/Q2807,place,Madrid
https://www.wikidata.org/wiki/Q752280,place,Almagro
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q844209,place,la Mancha
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q6674,mit,diablo
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q5492657,place,Atocha
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q6140014,place,del Príncipe
https://www.wikidata.org/wiki/Q7691978,place,de la Cruz
https://www.wikidata.org/wiki/Q1442310,person,Francisco de Rojas
https://www.wikidata.org/wiki/Q8409,person,Alejandro
https://www.wikidata.org/wiki/Q160381,place,Ocidente
https://www.wikidata.org/wiki/Q859,person,Platón
https://www.wikidata.org/wiki/Q1413,person,Nerón
https://www.wikidata.org/wiki/Q1460,place,Sicilia
https://www.wikidata.org/wiki/Q2656,place,Palermo
https://www.wikidata.org/wiki/Q35045,place,Potosí
https://www.wikidata.org/wiki/Q179256,mit,Narciso
https://www.wikidata.org/wiki/Q2656,place,Palermo
https://www.wikidata.org/wiki/Q187602,mit,Circe
https://www.wikidata.org/wiki/Q270227,person,Laura
https://www.wikidata.org/wiki/Q232913,person,Beatriz
https://www.wikidata.org/wiki/Q13409873,mit,Píramo
https://www.wikidata.org/wiki/Q10316761,mit,Leandro
https://www.wikidata.org/wiki/Q1460,place,Sicilia
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q5836,place,Toledo
https://www.wikidata.org/wiki/Q54939,place,Valencia
https://www.wikidata.org/wiki/Q302,mit,Jesús
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q1460,place,Sicilia
https://www.wikidata.org/wiki/Q836948,place,Toro
https://www.wikidata.org/wiki/Q1460,place,Sicilia
https://www.wikidata.org/wiki/Q270867,mit,madre la tierra
https://www.wikidata.org/wiki/Q1460,place,Sicilia
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q1460,place,Sicilia
https://www.wikidata.org/wiki/Q5836,place,Toledo
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q4018,place,Navarra
https://www.wikidata.org/wiki/Q173063,place,Castilla
https://www.wikidata.org/wiki/Q173063,place,Castilla
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q635,person,Cleopatra
https://www.wikidata.org/wiki/Q51673,person,Antonio
https://www.wikidata.org/wiki/Q179256,mit,Narciso
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q207368,mit,Eco
